video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs,tagCount
-TemfM2SfnY,BANGTANTV,다같이 #BTS9thAnniversary 를 축하해요! ARMY와 방탄소년단은 앞으로도 매일매일 더 우리답게 같이 나아가며 더 많은 추억을 쌓을 예정이니깐요!,"Share your favorite #MyBTStory
👉https://yt.be/MyBTStoryOnShorts

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://channels.vlive.tv/FE619 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com",,2022-06-16 02:29:53+00:00,2076899.0,604951.0,,4795.0,PT16S,hd,false,Thursday,16.0,0
bZdGD6TMWnw,BANGTANTV,"ARMY, we come so far together and BTS will keep making more memories with you, each and every day!","Share your favorite #MyBTStory
👉https://yt.be/MyBTStoryOnShorts

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://channels.vlive.tv/FE619 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com",,2022-06-16 02:29:44+00:00,2308798.0,626944.0,,5289.0,PT16S,hd,false,Thursday,16.0,0
1t0iJ7F_k9Q,BANGTANTV,BTS (방탄소년단) ‘찐 방탄회식’ #2022BTSFESTA,"Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://channels.vlive.tv/FE619 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']",2022-06-14 12:00:10+00:00,24250746.0,2187062.0,,126773.0,PT1H1M56S,hd,true,Tuesday,3716.0,18
SQEnpFcF9vA,BANGTANTV,"모두가 숨죽인 밤, 우린 발을 멈추지 않아 #BTS_Proof #YetToCome","BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 05:00:03+00:00,1617815.0,486848.0,,4390.0,PT16S,hd,false,Tuesday,16.0,0
O3dd4AZaols,BANGTANTV,"당신은 꿈꾸는가, 그 길의 끝은 무엇일까 #BTS_Proof #YetToCome","BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:50:05+00:00,1221048.0,443964.0,,3827.0,PT16S,hd,false,Tuesday,16.0,0
0RLQXA726-k,BANGTANTV,난 변화는 많았지만 변함은 없었다 해 #BTS_Proof #YetToCome,"BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:40:06+00:00,1129022.0,451406.0,,4171.0,PT16S,hd,false,Tuesday,16.0,0
pGh4E0jdCLc,BANGTANTV,"You and I, best moment is yet to come #BTS_Proof #YetToCome","BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:30:11+00:00,1805213.0,508904.0,,5053.0,PT16S,hd,false,Tuesday,16.0,0
QIkAE9AOarw,BANGTANTV,Moment is yet to come #BTS_Proof #YetToCome,"BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:20:08+00:00,1618105.0,495302.0,,5663.0,PT16S,hd,false,Tuesday,16.0,0
dBp5ygMDNYU,BANGTANTV,너의 마음속 깊은 어딘가 여전한 소년이 있어 #BTS_Proof #YetToCome,"BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:10:08+00:00,1329281.0,450124.0,,4141.0,PT16S,hd,false,Tuesday,16.0,0
aVekhBEOZZI,BANGTANTV,"The past was honestly the best, but my best is what comes next. #BTS_Proof #YetToCome","BTS (방탄소년단) 'Yet To Come (The Most Beautiful Moment)' Release

💽 https://ingrv.es/YetToCome
🎧 https://youtu.be/Kh0OF8ZE8co",,2022-06-14 04:00:05+00:00,2302037.0,544020.0,,5399.0,PT16S,hd,false,Tuesday,16.0,0
