"","video_id","channelTitle","title","description","tags","publishedAt","viewCount","likeCount","commentCount","duration","definition","caption","publishDayName","durationSecs","tagCount","member"
"11","nxMdl-i5xRk","BANGTANTV","Peace up✌️, A-Town down😎 Usher IN DA HOUSE #대우주팝스타어셔앤드정국 #정국 #JungKook #StandingNextToYou","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-15 05:45:08+00:00",1104421,221452,2051,"PT51S","hd","false","Friday",51,18,"JK"
"12","JZ4XKdcw5oc","BANGTANTV","Jung Kook X Usher🔥 POM-MI-CHUT-DA🤯 #어셔가말아주는스넥유어떤데 #정국 #JungKook #StandingNextToYou","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-15 05:30:21+00:00",4773352,672390,5457,"PT46S","hd","false","Friday",46,18,"JK"
"13","O1d2DYZZrek","BANGTANTV","정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video","정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video
💽 Listen to 'Standing Next to You - Usher Remix': https://ingrv.es/StandingNexttoYouUsherRemix

Credits:
Director: Yong Seok Choi (Lumpens)
Co-Director: Guzza (KUDO)

Producer: Ran Ro (Lumpens)

Director of Photography: EumKo
Focus Puller: Youngwoo Lee
2nd AC: Eunil Lee
3rd AC: Yuntae Ko

Production Company: OUT OF OFFICE CO
EP/Producer: Sina Pars
Production Supervisor: Joe Keenan
Production Coordinator: Nina Nwachukwu
Travel Coordinator: Jane Kim

1st AD: Jesse Hays
2nd AD: Christina “Mitchy” Mitchell

1st AC: Victor Chon
2nd AC: Marco Escobedo
DIT: Jack Damon

CLT: Kyle Bryson
ACLT: Mark Mann
SLTs: Spencer Scranton, Mike Garcia, Perry Alexus
Hyph: Jack Shaw
Key Grip: Wadsworth Peters
BBG: Blake Danchik
Grips: David Roth, Chris Wieland, Charlie McGlinsky, Jake Reeder
Hyph: Wilson Sun

VTR: Ignacio Martinez
SPFX: Cade Fall
Dancers: Dom Lashawn Johnson, Ian Eastwood, Devin Pornel, Brian Puspos, Jacob Brandorff, Vinh Nguyen

Hair (Dancers): PJ Olay
Hair Asst: Violet Schroeder
MU (Dancers): Elle Favorule
MU Assist: Sonia Cabrera

Transpo Captain: Kevin Barrett
Teamsters: Kevin Peterson, Rita Lundrin, Salim Allen, Luke Norris, Shaheed Veal
Locations: Laura Dominguez
Medic: Monica Rust
Craft Service: Leslie Paz, Viviana Terriquez
Chef/Driver: Michael Cruz

Liaisons: Candy Yi, Cathy Kim, Brandon Choi
Talent PAs: Belle Eykmans, Bianca Yi
AD PA: Damien Pettway
PAs: Dariush Sobhani, Ted Shehan, Evan Rowe, Dylan Sutherland, Jose Ramos, Daniel Trejo, Austin Barrett, Jennifer Scelsi

DI: LUCID COLOUR
Colorist: Wonseok Ko
DI Crew: Dain Kim, Imgoo Jo, Suhyeon Bae
DI Producer: Minji Nam
Manager: Yujin Seo


BIGHIT MUSIC. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by BIGHIT MUSIC, Seoul, Korea.


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com

#정국 #JungKook #StandingNextToYou","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin', '어셔', '어셔 정국', 'usher jk', 'jk', 'jk bts', 'jk standing next to you', 'usher remix']","2023-12-15 05:00:04+00:00",10700040,980682,37932,"PT3M50S","hd","true","Friday",230,25,"JK"
"14","9gjMza8CMvU","BANGTANTV","정국 (Jung Kook) ‘Seven (feat. Latto)’ Promotions Sketch","#정국 #JungKook #JungKook_Seven

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-14 10:00:01+00:00",1277737,218528,5651,"PT16M26S","hd","true","Thursday",986,18,"JK"
"15","7My1Odq1wrY","BANGTANTV","‘BEYOND THE STAGE’ BTS DOCUMENTARY PHOTOBOOK : THE DAY WE MEET Official Trailer","BTS(방탄소년단) ‘BEYOND THE STAGE’ BTS DOCUMENTARY PHOTOBOOK : THE DAY WE MEET Official Trailer

📅 PRE-ORDER : 2023.12.15. 11AM (KST)
📅 RELEASE : 2023.12.22. (KST)

#BTS #방탄소년단 #BEYOND_THE_STAGE

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-13 15:00:03+00:00",619121,160148,3422,"PT50S","hd","true","Wednesday",50,18,"Other"
"16","_p8tLsvqFYg","BANGTANTV","[BANGTAN BOMB] RM, Jimin, V, Jung Kook’s Entrance Ceremony with BTS - BTS (방탄소년단)","#BANGTANBOMB #방탄밤 #BTS #방탄소년단


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://i.youku.com/btsofficial 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-13 10:00:03+00:00",4446762,697809,35992,"PT3M45S","hd","true","Wednesday",225,18,"Group"
"17","mmrLHfKyiQs","BANGTANTV","'BTS Monuments: Beyond The Star' D-7 #BTS_Monuments_BeyondTheStar #BTS_모뉴먼츠_비욘드더스타","Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-13 03:00:32+00:00",404080,132911,1708,"PT15S","hd","false","Wednesday",15,18,"Other"
"18","fBgs4BQNFCU","BANGTANTV","정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video Teaser","정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video Teaser

📆 Official Performance Video Release: Dec 15, 2pm KST | 0am ET
💽 Listen to 'Standing Next to You - Usher Remix': https://ingrv.es/StandingNexttoYouUsherRemix

Credits:
Director: Yong Seok Choi (Lumpens)
Co-Director: Guzza (KUDO)

Producer: Ran Ro (Lumpens)

Director of Photography: EumKo
Focus Puller: Youngwoo Lee
2nd AC: Eunil Lee
3rd AC: Yuntae Ko

Production Company: OUT OF OFFICE CO
EP/Producer: Sina Pars
Production Supervisor: Joe Keenan
Production Coordinator: Nina Nwachukwu
Travel Coordinator: Jane Kim

1st AD: Jesse Hays
2nd AD: Christina “Mitchy” Mitchell

1st AC: Victor Chon
2nd AC: Marco Escobedo
DIT: Jack Damon

CLT: Kyle Bryson
ACLT: Mark Mann
SLTs: Spencer Scranton, Mike Garcia, Perry Alexus
Hyph: Jack Shaw
Key Grip: Wadsworth Peters
BBG: Blake Danchik
Grips: David Roth, Chris Wieland, Charlie McGlinsky, Jake Reeder
Hyph: Wilson Sun

VTR: Ignacio Martinez
SPFX: Cade Fall
Dancers: Dom Lashawn Johnson, Ian Eastwood, Devin Pornel, Brian Puspos, Jacob Brandorff, Vinh Nguyen

Hair (Dancers): PJ Olay
Hair Asst: Violet Schroeder
MU (Dancers): Elle Favorule
MU Assist: Sonia Cabrera

Transpo Captain: Kevin Barrett
Teamsters: Kevin Peterson, Rita Lundrin, Salim Allen, Luke Norris, Shaheed Veal
Locations: Laura Dominguez
Medic: Monica Rust
Craft Service: Leslie Paz, Viviana Terriquez
Chef/Driver: Michael Cruz

Liaisons: Candy Yi, Cathy Kim, Brandon Choi
Talent PAs: Belle Eykmans, Bianca Yi
AD PA: Damien Pettway
PAs: Dariush Sobhani, Ted Shehan, Evan Rowe, Dylan Sutherland, Jose Ramos, Daniel Trejo, Austin Barrett, Jennifer Scelsi

DI: LUCID COLOUR
Colorist: Wonseok Ko
DI Crew: Dain Kim, Imgoo Jo, Suhyeon Bae
DI Producer: Minji Nam
Manager: Yujin Seo


BIGHIT MUSIC. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by BIGHIT MUSIC, Seoul, Korea.


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com

#정국 #JungKook #StandingNextToYou","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-12 15:00:01+00:00",2390803,399852,10558,"PT35S","hd","false","Tuesday",35,18,"JK"
"19","5koQ2v3HusI","BANGTANTV","정국 (Jung Kook) 'Hate You' @ iHeartRadio LIVE","#정국 #JungKook #HateYou #iHeartJungKook

Jung Kook performs “Hate You”. Watch his full iHeartRadio LIVE show on December 11th @ 5pm PST in VR only in Meta Horizon Worlds @MetaQuestVR 
👉 https://ihr.fm/iHeartJungKook

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-10 06:00:02+00:00",1766481,280285,9418,"PT2M38S","hd","false","Sunday",158,18,"JK"
"20","eXUZ0hEtEFs","BANGTANTV","'BTS Monuments: Beyond The Star' Special Trailer","""21세기 팝 아이콘 방탄소년단"" 그곳에 도착하기까지 10년의 기록.
BTS marks its 10th anniversary as a 21st-century pop icons. Join their journey to the top and beyond.

🗓️12월 20일 오후 5시 디즈니+ 공개
🗓️Dec 20, 5PM (KST) exclusively on Disney+

#BTS_Monuments_BeyondTheStar
#BTS_모뉴먼츠_비욘드더스타

Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.facebook.com/bangtan.official 
https://www.youtube.com/user/BANGTANTV 
http://instagram.com/BTS.bighitofficial 
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
https://www.weibo.com/BTSmembers 
http://btsblog.ibighit.com","['방탄소년단', 'BTS', 'BANGTAN', '알엠', 'RM', '슈가', 'SUGA', '제이홉', 'jhope', '지민', '정국', 'k-pop', '방탄', 'j-hope', 'Jung Kook', 'Jimin', 'BTS V', 'Jin']","2023-12-08 12:59:58+00:00",1100650,221746,5726,"PT1M37S","hd","true","Friday",97,18,"Other"
